2025-06-11 12:35:12 | src.utils.logging_system | INFO | logging_system.py:439 | Logging system initialized
2025-06-11 12:35:12 | root | INFO | api_server.py:142 | API server initialized successfully
2025-06-11 12:35:23 | src.utils.logging_system | INFO | logging_system.py:439 | Logging system initialized
2025-06-11 12:35:23 | root | INFO | api_server.py:142 | API server initialized successfully
2025-06-11 12:38:06 | src.utils.logging_system | INFO | logging_system.py:439 | Logging system initialized
2025-06-11 12:38:06 | root | INFO | api_server.py:142 | API server initialized successfully
2025-06-11 12:38:23 | src.utils.logging_system | INFO | logging_system.py:439 | Logging system initialized
2025-06-11 12:38:23 | root | INFO | api_server.py:142 | API server initialized successfully
2025-06-11 12:40:38 | src.utils.logging_system | INFO | logging_system.py:439 | Logging system initialized
2025-06-11 12:40:38 | root | INFO | api_server.py:142 | API server initialized successfully
2025-06-11 12:43:23 | src.utils.logging_system | INFO | logging_system.py:439 | Logging system initialized
2025-06-11 12:43:23 | root | INFO | api_server.py:142 | API server initialized successfully
2025-06-11 13:02:13 | src.utils.logging_system | INFO | logging_system.py:439 | Logging system initialized
2025-06-11 13:02:31 | src.utils.logging_system | INFO | logging_system.py:439 | Logging system initialized
2025-06-11 13:02:31 | root | INFO | api_server.py:142 | API server initialized successfully
2025-06-11 13:05:12 | src.utils.logging_system | INFO | logging_system.py:439 | Logging system initialized
2025-06-11 13:05:12 | root | INFO | api_server.py:142 | API server initialized successfully
2025-06-11 13:07:03 | src.utils.logging_system | INFO | logging_system.py:439 | Logging system initialized
2025-06-11 13:07:03 | root | INFO | api_server.py:142 | API server initialized successfully
